Rank,School,Conference,Power Rating,oe,de,tempo,id,RANK,TEAM,2021-22 RECORD,POINTS
120,Belmont,MVC,14.48,103.73,99.12,69.50,233,,,,
121,New Mexico St.,WAC,14.47,103.11,98.35,69.00,344,,,,
122,Minnesota,B10,14.40,103.44,98.93,65.11,104,,,,
123,Montana St.,BSky,14.35,105.36,101.49,67.59,74,,,,
124,UNC Greensboro,SC,14.31,103.36,99.03,62.30,286,,,,
125,Nebraska,B10,14.28,102.52,98.02,71.57,99,,,,
126,UNLV,MWC,14.13,103.15,99.15,66.31,218,,,,
127,Kent St.,MAC,14.03,102.73,98.87,67.18,178,,,,
128,Indiana St.,MVC,14.02,102.76,98.91,69.19,207,,,,
129,Rhode Island,A10,13.93,101.17,97.10,67.04,50,,,,
130,Stephen F. Austin,WAC,13.90,102.01,98.23,69.62,291,,,,
131,James Madison,SB,13.83,104.38,101.42,69.81,126,,,,
132,South Dakota,Sum,13.82,107.54,105.46,66.80,321,,,,
133,Penn,Ivy,13.81,104.94,102.17,68.30,161,,,,
134,Portland,WCC,13.76,103.57,100.53,69.06,340,,,,
135,Utah Valley,WAC,13.74,102.87,99.70,67.35,348,,,,
136,Jacksonville,ASun,13.74,102.80,99.62,61.50,37,,,,
137,Chattanooga,SC,13.71,102.87,99.77,68.90,281,,,,
138,South Florida,Amer,13.69,100.48,96.77,65.35,11,,,,
139,Longwood,BSth,13.67,104.33,101.71,66.16,87,,,,
140,California,P12,13.67,100.82,97.26,64.30,251,,,,
141,Abilene Christian,WAC,13.57,101.27,98.04,70.40,296,,,,
142,Southern Utah,WAC,13.56,106.87,105.20,68.86,78,,,,
143,Yale,Ivy,13.51,100.52,97.24,68.44,158,,,,
144,Samford,SC,13.37,106.02,104.54,71.88,289,,,,
145,Georgetown,BE,13.36,103.65,101.56,70.00,62,,,,
146,UC Irvine,BW,13.34,99.48,96.30,65.98,116,,,,
147,Middle Tennessee,CUSA,13.24,101.57,99.17,67.89,135,,,,
148,Winthrop,BSth,13.22,103.18,101.29,68.32,82,,,,
149,Hawaii,BW,12.95,101.31,99.51,66.00,115,,,,
150,Princeton,Ivy,12.91,104.46,103.60,66.75,160,,,,
151,Nevada,MWC,12.84,103.15,102.10,70.22,216,,,,
152,St. Bonaventure,A10,12.81,100.83,99.22,65.55,47,,,,
153,Massachusetts,A10,12.72,106.25,106.32,71.67,55,,,,
154,Wofford,SC,12.71,102.67,101.80,64.77,285,,,,
155,Sam Houston St.,WAC,12.65,99.77,98.22,66.90,295,,,,
156,Louisiana Lafayette,SB,12.63,102.03,101.14,65.83,324,,,,
157,Loyola Marymount,WCC,12.60,104.13,103.89,65.92,343,,,,
158,Duquesne,A10,12.58,101.04,100.00,66.80,51,,,,
159,Marshall,SB,12.58,102.12,101.38,72.72,136,,,,
160,Missouri St.,MVC,12.57,103.38,103.00,67.69,208,,,,
161,Seattle,WAC,12.57,99.27,97.77,70.07,347,,,,
162,UMass Lowell,AE,12.43,102.33,102.00,68.16,16,,,,
163,Hofstra,CAA,12.31,103.53,103.79,69.02,128,,,,
164,Long Beach St.,BW,12.29,102.16,102.09,71.49,117,,,,
165,Charlotte,CUSA,12.25,103.61,104.02,64.90,142,,,,
166,Fort Wayne,Horz,12.25,101.47,101.30,68.40,315,,,,
167,Ohio,MAC,12.22,101.18,101.00,68.00,180,,,,
168,Saint Joseph's,A10,12.15,100.53,100.34,69.24,46,,,,
169,Northern Kentucky,Horz,12.14,101.82,102.01,64.46,154,,,,
170,Pepperdine,WCC,12.09,102.15,102.53,70.33,337,,,,
171,Northern Iowa,MVC,12.05,100.09,100.00,67.39,206,,,,
172,Montana,BSky,12.02,102.42,103.04,65.77,68,,,,
173,Delaware,CAA,11.98,102.26,102.93,66.90,133,,,,
